term,corpus_count,School,Field,Year,PDF,left_context,matched_term,right_context
uti,17,SBE,Building_Technology,2020,glass_curtain_wall_technology_and_sustainability_in_commercial_buildings_in_auckland_new_zealand_2020.pdf,focus on less expensive more,uti,litarian factors which is why
ua,23,SBE,Building_Technology,2020,human_behaviour_during_a_healthcare_facility_evacuation_drills_2020.pdf,2016 Label Description A Assisted,UA,Unassisted NA No aid was
ina,53,SBE,Building_Technology,2020,modelling_evacuation_decision_making_in_the_2016_chimney_tops_2_fire_in_gatlinburg_tn_2020.pdf,caring for the injured or,ina,ctive sheltering i e passively
ute,25,SBE,Building_Technology,2020,modelling_evacuation_decision_making_in_the_2016_chimney_tops_2_fire_in_gatlinburg_tn_2020.pdf,H W alpole National Instit,ute,of St andar ds and
ime,21,SBE,Building_Technology,2020,modelling_evacuation_decision_making_in_the_2016_chimney_tops_2_fire_in_gatlinburg_tn_2020.pdf,isk p erception at t,ime,of evacuation decision n 286
waikato,80,SBE,Building_Technology,2020,validity_and_reliability_of_life_cycle_assessment_2020.pdf,emissions from an aver age,Waikato,dairy farm and impacts of
ture,73,SBE,Building_Technology,2020,validity_and_reliability_of_life_cycle_assessment_2020.pdf,Report 2004 Ministry of Agricul,ture,and Forestry MAF Hamilton New
mea,43,SBE,Building_Technology,2020,validity_and_reliability_of_life_cycle_assessment_2020.pdf,chosen EIOA approach as a,mea,surement of environmental performance and
moreira,22,SBE,Building_Technology,2020,validity_and_reliability_of_life_cycle_assessment_2020.pdf,189 Iribarren D Hospido A,Moreira,M T Feijoo G 2011
ame,25,SBE,Building_Technology,2020,virtual_and_augmented_reality_for_human_behaviour_in_disasters_2020.pdf,P eople a serious g,ame,platf orm f or inf
ea,228,SBE,Building_Technology,2021,case_studies_of_large_outdoor_fires_involving_evacuation_2021.pdf,across the Northern California ar,ea,firefighting resources were spread extremely
eme,33,SBE,Building_Technology,2021,case_studies_of_large_outdoor_fires_involving_evacuation_2021.pdf,Working Group Emergency Management Evacuation,EME,Subgroup Enrico Ronchi Lund University
nee,29,SBE,Building_Technology,2021,case_studies_of_large_outdoor_fires_involving_evacuation_2021.pdf,plans had noted the extra,nee,d resources for these individuals
ite,28,SBE,Building_Technology,2021,case_studies_of_large_outdoor_fires_involving_evacuation_2021.pdf,18 2019 from Twitter webs,ite,https twitter com search q
pare,23,SBE,Building_Technology,2021,case_studies_of_large_outdoor_fires_involving_evacuation_2021.pdf,canyon communities warned to pre,pare,to leave The famed Getty
roa,16,SBE,Building_Technology,2021,case_studies_of_large_outdoor_fires_involving_evacuation_2021.pdf,area surrounded by viticulture multiple,roa,ds with only one exit
ame,25,SBE,Building_Technology,2021,investigating_office_buildings_evacuations_using_unannounced_fire_drills_2021.pdf,P eople a serious g,ame,platf orm f or inf
