Unnamed: 0,File,School,Field,Year,File_Path,Maori_words
40,corrigendum_to_a_pre_evacuation_database_for_use_in_egress_simulations_2019.pdf,SBE,Building_Technology,2019,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2019\corrigendum_to_a_pre_evacuation_database_for_use_in_egress_simulations_2019.pdf,ikea
41,mobile_powered_head_mounted_displays_vs_cave_automatic_virtual_environment_experiments_for_evacuation_research_2019.pdf,SBE,Building_Technology,2019,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2019\mobile_powered_head_mounted_displays_vs_cave_automatic_virtual_environment_experiments_for_evacuation_research_2019.pdf,
42,modeling_and_simulation_of_pedestrian_movement_planning_around_corners_2019.pdf,SBE,Building_Technology,2019,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2019\modeling_and_simulation_of_pedestrian_movement_planning_around_corners_2019.pdf,"mane, renato, okamoto, kawato, automata"
43,prediction_of_kiwifruit_orchard_characteristics_from_satellite_images_2019.pdf,SBE,Building_Technology,2019,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2019\prediction_of_kiwifruit_orchard_characteristics_from_satellite_images_2019.pdf,"katikati, inoue, huete, moreira, retina, maunganui, puke, tauranga"
44,proposing_behavior_oriented_strategies_for_earthquake_emergency_evacuation_2019.pdf,SBE,Building_Technology,2019,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2019\proposing_behavior_oriented_strategies_for_earthquake_emergency_evacuation_2019.pdf,"amini, mora, rema, ini, rini, eme, keio, ino, aei, inoue"
45,the_impact_of_sampling_methods_on_evacuation_model_convergence_and_egress_time_2019.pdf,SBE,Building_Technology,2019,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2019\the_impact_of_sampling_methods_on_evacuation_model_convergence_and_egress_time_2019.pdf,"teo, ano, kimura, reneke, ime, ure, pate, ture, ria, tete"
46,towards_microscopic_calibration_of_pedestrian_simulation_models_using_open_trajectory_data_sets_2019.pdf,SBE,Building_Technology,2019,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2019\towards_microscopic_calibration_of_pedestrian_simulation_models_using_open_trajectory_data_sets_2019.pdf,"ute, nakano"
47,an_immersive_virtual_reality_serious_game_to_enhance_earthquake_behavioral_responses_and_post_earthquake_evacuation_preparedness_in_buildings_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\an_immersive_virtual_reality_serious_game_to_enhance_earthquake_behavioral_responses_and_post_earthquake_evacuation_preparedness_in_buildings_2020.pdf,"eme, ame, ere, roo, ara, iate, moreno, ingame, neto"
48,an_online_survey_of_pedestrian_evacuation_model_usage_and_users_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\an_online_survey_of_pedestrian_evacuation_model_usage_and_users_2020.pdf,"nore, teo, automa, torero, oni, warei, reneke, aei, rimea"
49,augmented_reality_for_pedestrian_evacuation_research_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\augmented_reality_for_pedestrian_evacuation_research_2020.pdf,"nemoto, kitamura, nimo, kawai, urai, iwaka, kato, oai, tanimura, reneke, nakatani, aei, inoue, pone, mikami"
50,calibrating_the_wildfire_decision_model_using_hybrid_choice_modelling_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\calibrating_the_wildfire_decision_model_using_hybrid_choice_modelling_2020.pdf,"reneke, wui"
